id,brand,model,year,fuel,kms,transmission,2door,color,type,displacement,hp,euro,price
63c58525195f5860f708aae4,Mercedes-Benz,GL,2008,d,239000.0,1.0,0.0,gray,jeep,3000,224,4,21500.0
63d61fffae44bc545f0f19b2,Mercedes-Benz,B,2008,d,251000.0,0.0,0.0,black,van,1800,109,,6700.0
63cd0b1423187de754059153,Mercedes-Benz,C,2004,d,370000.0,1.0,0.0,black,combi,2200,122,3,6500.0
6391c7a6da42d83ce7068043,Mercedes-Benz,E,2009,d,215000.0,1.0,0.0,black,sedan,3000,190,4,12900.0
640c3ad9007c90f22f0951e5,Mercedes-Benz,B,2013,d,218000.0,1.0,0.0,gray,hatchback,1800,,5,17900.0
6406da4017f9bf954b01f072,Mercedes-Benz,ML,2007,d,242500.0,1.0,0.0,blue,jeep,3000,224,,15850.0
63de3b08a8632e8730094a34,Mercedes-Benz,B,2010,p,210000.0,1.0,0.0,gray,hatchback,2000,136,4,9900.0
64079605a33365fc330e0743,Mercedes-Benz,E,2013,d,209600.0,1.0,0.0,gray,sedan,2200,170,5,23850.0
5da421346aa9c573422506f4,Mercedes-Benz,C,2002,d,21000.0,0.0,0.0,gray,sedan,2200,142,3,4900.0
62c30af37161ba340d04bfa2,Mercedes-Benz,C,2004,d,231000.0,0.0,1.0,silver,coupe,2200,122,4,5700.0
620bc4ecdcbc02161138d164,Mercedes-Benz,ML,2012,d,211000.0,1.0,0.0,black,jeep,3500,258,,37800.0
62c30cb15a61d1e9cd085f54,Mercedes-Benz,E,2005,d,214000.0,1.0,0.0,green,sedan,2999,190,4,7999.0
63771a3f5c49added801cb33,Mercedes-Benz,CLA,2016,d,215700.0,1.0,0.0,gray,combi,2200,136,6,29600.0
63f4594f24dc34c0ff0f7222,Mercedes-Benz,C,2008,d,217000.0,1.0,0.0,black,combi,3200,,4,14999.0
63a2ad060916d586980f4092,Mercedes-Benz,ML,2013,p,157270.0,1.0,0.0,gray,jeep,3500,306,5,47999.0
63bfd76555cc47a58b0592f7,Mercedes-Benz,C,2006,d,204000.0,1.0,0.0,silver,sedan,2200,150,4,7999.0
63d2ea732225e7bc7e0e95f2,Mercedes-Benz,A,2010,g,219600.0,1.0,0.0,gray,hatchback,1700,116,5,9350.0
640c5ef85118e7598406c632,Mercedes-Benz,A,2014,d,246801.0,0.0,0.0,gray,hatchback,1500,109,5,22000.0
637d0e4f007a9b63320fe205,Mercedes-Benz,E,2007,d,170000.0,1.0,0.0,gray,sedan,3200,224,4,6600.0
640733d024be2ae2c6061582,Mercedes-Benz,R,2008,d,266000.0,1.0,0.0,black,van,2987,224,4,17500.0
6326253de68b62ca110c7c73,Mercedes-Benz,E,2009,d,370000.0,1.0,0.0,gray,combi,3000,190,4,9600.0
640d79c2b348d6d0b2013814,Mercedes-Benz,E,2004,d,295000.0,1.0,0.0,black,sedan,2700,177,,7999.0
63e7c07ebfe92cc528070965,Mercedes-Benz,ML,2005,p,277999.0,1.0,0.0,gray,jeep,5000,306,4,21300.0
6378c4b8bbcca96d190b84d5,Mercedes-Benz,E,2005,d,374000.0,1.0,0.0,black,combi,3200,204,4,7800.0
63f4a88cf9aad220ba000e95,Mercedes-Benz,ML,2007,d,198000.0,1.0,0.0,black,jeep,3200,224,4,18900.0
64009dd98f2757dbad087353,Mercedes-Benz,GLK,2009,d,221000.0,1.0,0.0,black,jeep,3000,224,4,21600.0
6404cb57cda10d103a061ec3,Mercedes-Benz,E,2013,d,193000.0,0.0,0.0,gray,sedan,,170,5,17999.0
640724394f767679080558e3,Mercedes-Benz,GLK,2009,d,185000.0,1.0,0.0,black,jeep,2200,170,5,21500.0
636d103a7190d149ab0e77c3,Mercedes-Benz,C,2004,d,260000.0,0.0,0.0,blue,sedan,2000,115,3,4499.0
640a14ce1e0b0138520c32d8,Mercedes-Benz,C,2006,d,212000.0,1.0,0.0,black,combi,2200,150,5,6300.0
638348c224cedc5e0d01a642,Mercedes-Benz,E,2009,d,250000.0,1.0,0.0,black,combi,3000,195,5,10300.0
6370dc2b77ba4d344e0020a2,Mercedes-Benz,E,2004,d,187000.0,1.0,0.0,gray,sedan,2200,150,4,7300.0
62d70337e88111fc73091e33,Mercedes-Benz,C,2008,d,207000.0,0.0,0.0,gray,combi,2200,170,4,9999.0
640a2347728b98ef3f07fb65,Mercedes-Benz,S,1998,g,270000.0,1.0,0.0,blue,sedan,3200,224,3,7000.0
63a357c0ed7c0958180e5fe2,Mercedes-Benz,E,2009,d,100000.0,1.0,0.0,black,sedan,,,4,20800.0
6325ec79dcf96b0b8f0777d2,Mercedes-Benz,CLS,2007,g,301000.0,1.0,0.0,gray,sedan,3500,272,3,15000.0
6409e240af1adcbfa90c7153,Mercedes-Benz,C,2009,d,187000.0,0.0,0.0,black,combi,2200,136,5,12500.0
6370ec62f1b245574506b7d2,Mercedes-Benz,ML,2006,d,232951.0,1.0,0.0,black,jeep,3000,224,4,15699.0
640d776bce067e0e30047a74,Mercedes-Benz,C,2009,d,183700.0,1.0,0.0,gray,combi,2200,170,4,14700.0
63728087ecf79cd7d104b393,Mercedes-Benz,A,2009,d,171000.0,0.0,0.0,black,hatchback,2000,82,4,5600.0
63bfafdadef0d4dba5050e42,Mercedes-Benz,C,2003,d,225938.0,0.0,1.0,silver,coupe,2200,143,3,4899.0
64058c9e18af067c9108b8d2,Mercedes-Benz,C,2005,d,189427.0,1.0,1.0,gray,coupe,2200,122,4,6300.0
63d913e7c45947361d0253b5,Mercedes-Benz,CLC,2008,d,198000.0,0.0,1.0,black,hatchback,2200,122,4,10800.0
63ef75b105d5bdaad703dda7,Mercedes-Benz,C,2009,d,300000.0,0.0,0.0,gray,sedan,2200,136,,11499.0
63ecb7c4cdf912c1a4035646,Mercedes-Benz,C,2009,d,239000.0,0.0,0.0,gray,combi,2200,136,,9199.0
63d7e954ca265d8a010e8592,Mercedes-Benz,C,2008,d,255000.0,0.0,0.0,black,combi,2200,136,,11499.0
63ecb87bcdf912c1a4035647,Mercedes-Benz,C,2010,d,289000.0,0.0,0.0,black,combi,2200,136,,12999.0
63ff49570e9e723e0f0b14e2,Mercedes-Benz,C,2007,d,218000.0,0.0,0.0,gray,sedan,2200,170,,12500.0
63f8e6acda53ee5565057913,Mercedes-Benz,C,2002,d,234500.0,0.0,0.0,blue,combi,2000,,4,4200.0
63d65cc214b0bce4ac07b8e5,Mercedes-Benz,C,2005,d,198000.0,1.0,0.0,black,combi,2200,150,4,5888.0
